Cohort,Feature Index,Feature Name,Tier,Normalized Importance
Overall,192,COUNTY_NAME_Harris,Meso,0.118194595
Overall,193,COUNTY_NAME_Hidalgo,Meso,0.5730009
Overall,194,COUNTY_NAME_Jefferson,Meso,0.44236785
Overall,195,COUNTY_NAME_Lubbock,Meso,0.38807973
Overall,196,COUNTY_NAME_McLennan,Meso,0.34955075
Overall,197,COUNTY_NAME_Montgomery,Meso,0.43824342
Overall,198,COUNTY_NAME_Nueces,Meso,0.7424758
Overall,199,COUNTY_NAME_Smith,Meso,0.38491237
Overall,200,COUNTY_NAME_Tarrant,Meso,0.26051265
Overall,201,COUNTY_NAME_Travis,Meso,0.7652112
Overall,202,COUNTY_NAME_Williamson,Meso,0.80220586
Asian,0,Age,Micro,0.014096376
Asian,1,Asian,Micro,1.0
Asian,2,Black_or_African_American,Micro,0.0029282405
Asian,3,Hispanic_or_Latino,Micro,0.0
Asian,4,White,Micro,0.03349782
Asian,5,Days_Cared_For,Micro,0.027673
Asian,6,BMI,Micro,0.016547615
Asian,7,POP_URB,Meso,0.034426168
Asian,8,POPPCT_URB,Meso,0.0051738736
Asian,9,POP_RUR,Meso,0.010671381
Asian,10,POPPCT_RUR,Meso,0.0055257794
Asian,11,ACS_PCT_BACHELOR_DGR,Meso,0.047580253
Asian,12,ACS_PCT_COLLEGE_ASSOCIATE_DGR,Meso,0.010009397
Asian,13,ACS_PCT_GRADUATE_DGR,Meso,0.028069397
Asian,14,ACS_PCT_HS_GRADUATE,Meso,0.037673537
Asian,15,ACS_PCT_LT_HS,Meso,0.028497843
Asian,16,ACS_PCT_NO_WORK_NO_SCHL_16_19,Meso,0.02085206
Asian,17,ACS_PCT_POSTHS_ED,Meso,0.021865271
Asian,18,ACS_PCT_VET_BACHELOR,Meso,0.01687512
Asian,19,ACS_PCT_VET_COLLEGE,Meso,0.027551148
Asian,20,ACS_PCT_VET_HS,Meso,0.018189793
Asian,21,ACS_PCT_HH_LIMIT_ENGLISH,Meso,0.009065414
Asian,22,ACS_PCT_HH_BROADBAND,Meso,0.028636592
Asian,23,ACS_PCT_HH_BROADBAND_ONLY,Meso,0.027802793
Asian,24,ACS_PCT_HH_CELLULAR,Meso,0.015946774
Asian,25,ACS_PCT_HH_CELLULAR_ONLY,Meso,0.020643985
Asian,26,ACS_PCT_HH_DIAL_INTERNET_ONLY,Meso,0.008753399
